addresspoid,housenum,geo_housenum,geo_streetname,geo_return_code,geo_message,geo_reason_code
1029906,533,533,WEST END AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
1040499,90,90,EAST  116 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1043707,62,62,WEST  134 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1043890,78,78,EAST  122 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1044429,156,156,EAST  119 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1046398,351,351,MANHATTAN AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
1047342,265,265,RIVERSIDE DRIVE,42,ADDRESS NUMBER OUT OF RANGE,""
1050301,161,161,ST NICHOLAS TERRACE,42,ADDRESS NUMBER OUT OF RANGE,""
1050316,221I,221I,CONVENT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
1050774,550,550,WEST  121 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1051107,475,475,RIVERSIDE DRIVE,42,ADDRESS NUMBER OUT OF RANGE,""
1055238,508,508,WEST  164 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1057701,714,714,WEST  186 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1059719,151B,151B,ELIZABETH STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1059942,1300,1300,2 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
1060403,1063,1063,ST NICHOLAS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
1062907,510A,510A,BROOME STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1063830,51A,51A,CHRYSTIE STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1064282,231,231,DYCKMAN STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1064289,124,124,WEST   30 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1064290,126,126,WEST   30 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
1064678,750,750,UNITED NATIONS PLAZA,42,ADDRESS NUMBER OUT OF RANGE,""
1741640,218,218,ANDES ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
1741650,212,212,ANDES ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
1744775,92,92,KIMMEL ROAD,41,THIS STREET HAS NO ADDRESSES,""
1745633,85,85,KIMMEL ROAD,41,THIS STREET HAS NO ADDRESSES,""
2000576,470,470,EAST  139 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2000578,472,472,EAST  139 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2000580,474,474,EAST  139 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2000587,480,480,EAST  139 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2000589,482,482,EAST  139 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2000591,484,484,EAST  139 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2001415,467,467,WILLIS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2002040,211,211,EAST  141 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2002080,448,448,GRAND CONCOURSE,42,ADDRESS NUMBER OUT OF RANGE,""
2002202,434,434,EXTERIOR STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2002389,D,D,ST ANNS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2002391,D,D,ST ANNS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2002393,D,D,ST ANNS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2002395,D,D,ST ANNS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2002399,C,C,ST ANNS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2002402,C,C,ST ANNS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2002537,513,513,EAST  161 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2002573,515,515,EAST  162 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2002846,433,433,EAST  153 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2003302,435B,435B,EAST  166 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2003303,435A,435A,EAST  166 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2003749,583,583,COURTLANDT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2003919,928B,928B,MORRIS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2004590,784,784,SHERIDAN AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2004663,985,985,GRANT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2006581,594,594,EAST  141 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2006582,596,596,EAST  141 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2006584,602,602,EAST  141 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2006584,604,604,EAST  141 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2007050,359,359,JACKSON AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2007060,362,362,POWERS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2007117,387,387,WALES AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2007400,82,82,WALNUT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2007428,165,165,LOCUST AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2009030,771,771,EAST  168 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2009030,773,773,EAST  168 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2009380,792,792,WESTCHESTER AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2009727,651,651,FOX STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2012998,527,527,BRYANT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2013290,201,201,FAILE STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2013438,1315,1315,CLAY AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2013439,1315A,1315A,CLAY AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2013442,1313,1313,CLAY AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2013506,300A,300A,EAST  170 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2013828,1760,1760,MORRIS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2014935,1719,1719,TOWNSEND AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2014936,1715,1715,TOWNSEND AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2015208,1703,1703,JEROME AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2016738,1811,1811,CARTER AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2018716,868,868,FREEMAN STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2020006,1819B,1819B,WEST FARMS ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2021322,2402,2402,WASHINGTON AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2021322,2422,2422,WASHINGTON AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2021476,4322,4322,3 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2021478,4318,4318,3 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2021533,4410,4410,3 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2021535,2135,2135,QUARRY ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2023521,2098,2098,CROTONA PARKWAY,42,ADDRESS NUMBER OUT OF RANGE,""
2023523,2093,2093,MOHEGAN AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2025151,1,1,EAST  183 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2026576,241,241,WEST  179 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2026576,249,249,WEST  179 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2027071,20,20,RISSE STREET,50,RISSE STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
2027072,40,40,RISSE STREET,50,RISSE STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
2027688,3414,3414,BAILEY AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2028046,575,575,EAST  191 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2029452,3023,3023,GRAND CONCOURSE,42,ADDRESS NUMBER OUT OF RANGE,""
2031894,4488B,4488B,VAN CORTLANDT PARK EAST,42,ADDRESS NUMBER OUT OF RANGE,""
2032840,1220,1220,BRONX RIVER AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2032884,100,100,UNDERHILL AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2032942,1022A,1022A,G STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2033335,265,265,WHITE PLAINS ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2033336,267,267,WHITE PLAINS ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2035804,639B,639B,LELAND AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2040715,1797A,1797A,WESTCHESTER AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2041070,1978,1978,EAST  177 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2041650,2162,2162,EAST  177 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2043422,13371/2,1337 1/2,BEACH AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2043433,1807A,1807A,WESTCHESTER AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2044167,1490,1490,COMMONWEALTH AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2044169,1494,1494,COMMONWEALTH AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2044171,1498,1498,COMMONWEALTH AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2044206,1794,1794,MANSION STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2045393,1539,1539,PARKER STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2046282,23,23,MARVIN PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2047873,1877,1877,BARNES AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2050627,2949A,2949A,MIDDLETOWN ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2050628,2949B,2949B,MIDDLETOWN ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2050671,1625,1625,CROSBY AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2051959,2825,2825,ST THERESA AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2052188,1962,1962,HOBART AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2052199,2921,2921,ST THERESA AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2052199,2929,2929,ST THERESA AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2052744,1924,1924,WHITE PLAINS ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2052805,1961A,1961A,HUNT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2052806,1961B,1961B,HUNT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2053656,1199,1199,RHINELANDER AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2054976,645,645,PELHAM PARKWAY,42,ADDRESS NUMBER OUT OF RANGE,""
2056279,2338A,2338A,LODOVICK AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2056556,2549,2549,OLINVILLE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2056610,2450,2450,HOLLAND AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2057145,2523,2523,HONE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2058814,1634,1634,MACE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2058815,1636,1636,MACE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2059181,1875,1875,MACE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2062296,710,710,ROSEWOOD STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2063313,902A,902A,EAST GUN HILL ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2064145,3650,3650,WHITE PLAINS ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2066334,1199,1199,EAST  212 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2068659,3060,3060,FENTON AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2070932,738A,738A,EAST  233 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
2073067,3510,3510,ELY AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2073562,1851,1851,NEEDHAM AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2073568,1,1,NEEDHAM AVENUE,50,NEEDHAM AVENUE IS AN INVALID STREET NAME FOR THIS LOCATION,1
2074299,3808,3808,DYRE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2074368,3701,3701,MERRITT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2074440,4141,4141,BOSTON ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2079725,4618,4618,GARDEN PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2080597,4854,4854,WHITE PLAINS ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
2081484,2400,2400,TILLOTSON AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2081929,1094,1094,FAIRFAX AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2082080,1141,1141,THROGMORTON AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2082407,1230,1230,BRADFORD AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2083827,1550,1550,ERICSON PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2083829,1558,1558,ERICSON PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2083830,1560,1560,ERICSON PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2083831,1562,1562,ERICSON PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2083832,1564,1564,ERICSON PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2083833,1566,1566,ERICSON PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2085038,3286,3286,SPENCER DRIVE,42,ADDRESS NUMBER OUT OF RANGE,""
2085217,1400,1400,KENNELLWORTH PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2085217,1418,1418,KENNELLWORTH PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2086484,909,909,HOLLYWOOD AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2087230,2920,2920,GERBER PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
2087382,293,293,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087383,291,291,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087384,289,289,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087385,287,287,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087386,285,285,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087387,283,283,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087388,281,281,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087389,279,279,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087390,277,277,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087391,275,275,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087392,273,273,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087393,271,271,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087394,269,269,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087395,265,265,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087396,263,263,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087397,261,261,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087398,259,259,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087399,257,257,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087400,253,253,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087401,251,251,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087402,245,245,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087403,243,243,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087404,241,241,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087405,239,239,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087406,237B,237B,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087407,237A,237A,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087450,223,223,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087451,217,217,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087452,215,215,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087453,213,213,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087474,199,199,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087475,197,197,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087476,195,195,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087477,193,193,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087478,189,189,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087479,187,187,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087480,185,185,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087498,227,227,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087500,225,225,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087639,1,1,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087640,3,3,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087641,5,5,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087642,7,7,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087643,9,9,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087644,11,11,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087645,13,13,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087646,15,15,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087647,17,17,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087648,19,19,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087649,21,21,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087650,23,23,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087651,25,25,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087652,27,27,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087653,29,29,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2087994,914,914,WILCOX AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
2088669,552,552,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088671,554,554,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088673,556,556,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088675,558,558,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088775,234,234,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088776,236,236,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088777,238B,238B,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088778,240,240,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088779,242,242,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088780,244,244,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088781,246,246,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088782,248,248,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088783,250,250,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088784,252,252,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088785,254,254,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088786,256,256,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088787,258,258,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088788,260,260,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088789,262,262,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088790,264,264,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088791,266,266,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088792,268,268,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088793,270,270,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088794,272,272,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088795,274,274,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088796,276,276,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088801,238,238,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088802,238A,238A,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088841,222,222,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088842,220,220,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088843,218,218,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088868,182,182,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088870,184,184,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088871,194,194,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088872,196,196,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088873,200,200,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088874,202,202,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088875,204,204,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
2088876,206,206,THROGS NECK EXPRESSWAY,50,THROGS NECK EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
